district_name,Month,cards_afsc,cards_fsc,cards_aap,cards_total,units_afsc,units_fsc,units_aap,units_total,rice_req_afsc,rice_req_fsc,rice_req_aap,rice_req_total,op_bal_rice_afsc,op_bal_rice_fsc,op_bal_rice_aap,op_bal_rice_total,qty_rice_toallocate_afsc,qty_rice_toallocate_fsc,qty_rice_toallocate_aap,qty_rice_toallocate_total,%partial_allot,%partial_allot_afsc,%partial_allot_fsc,%partial_allot_aap,%partial_allot_total,%final_allot,fin_allot_afsc,fin_allot_fsc,fin_allot_aap,fin_allot_total,,
Nalgonda,"May, 2017",28943,420857,74,449874,74588,1293617,75,1368280,1013005,7761702,740,8775447,2104,126152,0,128256,1010901,7635550,740,8647191,0,0,0,0,0,100,1010901,7635550,740,8647191,-2104,-128256
Nirmal,"May, 2017",11754,187569,36,199359,36479,606988,36,643503,411390,3641928,360,4053678,0,8430,0,8430,411390,3633498,360,4045248,0,0,0,0,0,100,411390,3633498,360,4045248,0,-8430
Nizamabad,"May, 2017",19933,355584,1139,376656,54948,1206093,1164,1262205,697655,7236558,11390,7945603,175,18798,10,18983,697480,7217760,11380,7926620,0,0,0,0,0,100,697480,7217760,11380,7926620,-175,-18983
Peddapalli,"May, 2017",12427,199650,184,212261,33837,590961,191,624989,434945,3545766,1840,3982551,890,14379,0,15269,434055,3531387,1840,3967282,0,0,0,0,0,100,434055,3531387,1840,3967282,-890,-15269
Rajanna Siricilla,"May, 2017",13696,153630,221,167547,36417,456920,225,493562,479360,2741520,2210,3223090,455,7246,60,7761,478905,2734274,2150,3215329,0,0,0,0,0,100,478905,2734274,2150,3215329,-455,-7761
Ranga Reddy,"May, 2017",35527,482592,45,518164,93288,1632404,58,1725750,1243445,9794424,450,11038319,50633,780985,0,831618,1192812,9013439,450,10206701,0,0,0,0,0,100,1192812,9013427,450,10206689,-50633,-831630
Sangareddy,"May, 2017",27128,333942,117,361187,70869,1133386,120,1204375,949480,6800316,1170,7750966,105,23201,0,23306,949375,6777115,1170,7727660,0,0,0,0,0,100,949375,6777115,1170,7727660,-105,-23306
Siddipet,"May, 2017",18861,262831,90,281782,52412,837150,91,889653,660135,5022900,900,5683935,420,24275,0,24695,659715,4998625,900,5659240,0,0,0,0,0,100,659715,4998625,900,5659240,-420,-24695
Suryapet,"May, 2017",18798,287776,50,306624,50274,852032,51,902357,657930,5112192,500,5770622,7955,225901,20,233876,649975,4886291,480,5536746,0,0,0,0,0,100,649975,4886291,480,5536746,-7955,-233876
Vikarabad,"May, 2017",27322,207057,42,234421,75631,740092,48,815771,956270,4440552,420,5397242,105,15948,0,16053,956165,4424604,420,5381189,0,0,0,0,0,100,956165,4424604,420,5381189,-105,-16053
Wanaparthy,"May, 2017",9820,140650,121,150591,28718,482185,130,511033,343700,2893110,1210,3238020,35,6142,0,6177,343665,2886968,1210,3231843,0,0,0,0,0,100,343665,2886968,1210,3231843,-35,-6177
Warangal,"May, 2017",12166,240392,23,252581,33880,733073,24,766977,425810,4398438,230,4824478,245,21558,0,21803,425565,4376880,230,4802675,0,0,0,0,0,100,425565,4376880,230,4802675,-245,-21803
Warangal Rural,"May, 2017",12188,205796,15,217999,31667,620142,18,651827,426580,3720852,150,4147582,280,44927,0,45207,426300,3675925,150,4102375,0,0,0,0,0,100,426300,3675925,150,4102375,-280,-45207
Yadadri Bhuvanagiri,"May, 2017",13213,191191,0,204404,35850,606553,0,642403,462455,3639318,0,4101773,1855,25292,0,27147,460600,3614026,0,4074626,0,0,0,0,0,100,460600,3614026,0,4074626,-1855,-27147
Total,"May, 2017",554127,8012300,6423,8572850,1507201,26032591,6617,27546409,19394445,156195546,64230,175654221,350594,5489166,4703,5844463,19043851,150706380,59527,169809758,,0,0,0,0,,19043851,150706368,59527,169809746,-350594,-5844475
Adilabad,"November, 2015",52183,690152,422,742757,163776,2208445,431,2372652,1826405,13250670,4220,15081295,0,39080,0,39080,1826405,13211590,4220,15042215,0,0,0,0,0,100,1826405,13211590,4220,15042215,0,-39080
Hyderabad,"November, 2015",43104,774306,389,817799,103010,2694217,432,2797659,1508640,16165302,3890,17677832,88128,1378288,135,1466551,1420512,14787014,3755,16211281,75,1131465,12123969,2971,13258405,25,289047,2663045,784,2952876,-1219593,-14724956
Karimnagar,"November, 2015",67564,1026146,639,1094349,178012,2967711,659,3146382,2364740,17806266,6390,20177396,1290,59608,20,60918,2363450,17746658,6370,20116478,0,0,0,0,0,100,2363450,17746658,6370,20116478,-1290,-60918
Khammam,"November, 2015",46648,680579,8,727235,126038,1952616,10,2078664,1632680,11715696,80,13348456,7000,150854,0,157854,1625680,11564842,80,13190602,0,0,0,0,0,100,1625680,11564842,80,13190602,-7000,-157854
Mahbubnagar,"November, 2015",70759,993078,526,1064363,189818,3397260,595,3587673,2476565,20383560,5260,22865385,315,42381,0,42696,2476250,20341179,5260,22822689,0,0,0,0,0,100,2476250,20341179,5260,22822689,-315,-42696
Medak,"November, 2015",54586,736679,171,791436,145849,2392401,175,2538425,1910510,14354406,1710,16266626,364,82084,10,82458,1910146,14272322,1700,16184168,0,0,0,0,0,100,1910146,14272322,1700,16184168,-364,-82458
Nalgonda,"November, 2015",61912,930834,131,992877,163250,2764714,142,2928106,2166920,16588284,1310,18756514,1698,148766,0,150464,2165222,16439518,1310,18606050,0,0,0,0,0,100,2165222,16439518,1310,18606050,-1698,-150464
Nizamabad,"November, 2015",38812,589367,1731,629910,107221,1998323,1749,2107293,1358420,11989938,17310,13365668,140,37225,0,37365,1358280,11952713,17310,13328303,0,0,0,0,0,100,1358280,11952713,17310,13328303,-140,-37365
Ranga Reddy,"November, 2015",63317,529695,119,593131,171585,1800510,151,1972246,2216095,10803060,1190,13020345,5005,231052,0,236057,2211090,10572008,1190,12784288,0,0,0,0,0,100,2211090,10572008,1190,12784288,-5005,-236057
Ranga Reddy,"November, 2015",14220,564669,18,578907,32337,1880617,26,1912980,497700,11283702,180,11781582,12465,645448,0,657913,485235,10638254,180,11123669,75,373260,8462767,142,8836169,25,111975,2175487,38,2287500,-385725,-9494082
Warangal,"November, 2015",58810,926929,74,985813,160236,2796251,91,2956578,2058350,16777506,740,18836596,490,82476,0,82966,2057860,16695030,740,18753630,0,0,0,0,0,100,2057860,16695030,740,18753630,-490,-82966
Total,"November, 2015",571915,8442434,4228,9018577,1541132,26853065,4461,28398658,20017025,161118390,42280,181177695,116895,2897262,165,3014322,19900130,158221128,42115,178163373,,1504725,20586736,3113,22094574,,18395405,137634392,39002,156068799,-1621620,-25108896
Adilabad,"November, 2016",51843,676117,524,728484,162763,2208908,533,2372204,1814505,13253448,5240,15073193,35,50590,0,50625,1814470,13202858,5240,15022568,0,0,0,0,0,100,1814470,13202858,5240,15022568,-35,-50625
Hyderabad,"November, 2016",33957,537870,285,572112,85664,2015407,292,2101363,1188495,12092442,2850,13283787,151060,1289207,622,1440889,1037435,10803235,2228,11842898,0,0,0,0,0,100,1037435,10803235,2228,11842898,-151060,-1440889
Karimnagar,"November, 2016",66794,1005587,671,1073052,176753,2975846,689,3153288,2337790,17855076,6710,20199576,2275,54218,70,56563,2335515,17800858,6640,20143013,0,0,0,0,0,100,2335515,17800858,6640,20143013,-2275,-56563
Khammam,"November, 2016",46585,664812,8,711405,125748,1930184,10,2055942,1630475,11581104,80,13211659,4997,132043,0,137040,1625478,11449061,80,13074619,0,0,0,0,0,100,1625478,11449061,80,13074619,-4997,-137040
Mahbubnagar,"November, 2016",70506,955882,588,1026976,190353,3325903,637,3516893,2467710,19955418,5880,22429008,110,37456,0,37566,2467600,19917962,5880,22391442,0,0,0,0,0,100,2467600,19917962,5880,22391442,-110,-37566
Medak,"November, 2016",54341,715957,288,770586,144969,2380177,293,2525439,1901935,14281062,2880,16185877,140,41878,0,42018,1901795,14239184,2880,16143859,0,0,0,0,0,100,1901795,14239184,2880,16143859,-140,-42018
Nalgonda,"November, 2016",61601,907046,130,968777,162832,2768393,132,2931357,2156035,16610358,1300,18767693,2100,127847,0,129947,2153935,16482511,1300,18637746,0,0,0,0,0,100,2153935,16482511,1300,18637746,-2100,-129947
Nizamabad,"November, 2016",37097,583721,2159,622977,103445,2007528,2201,2113174,1298395,12045168,21590,13365153,925,28309,0,29234,1297470,12016859,21590,13335919,0,0,0,0,0,100,1297470,12016859,21590,13335919,-925,-29234
Ranga Reddy,"November, 2016",61500,493653,148,555301,167000,1689183,173,1856356,2152500,10135098,1480,12289078,11535,287084,20,298639,2140965,9848014,1460,11990439,0,0,0,0,0,100,2140965,9848014,1460,11990439,-11535,-298639
Ranga Reddy,"November, 2016",13724,523062,24,536810,31321,1747195,27,1778543,480340,10483170,240,10963750,91652,1601087,40,1692779,388688,8882083,200,9270971,0,0,0,0,0,100,388688,8882071,200,9270959,-91652,-1692791
Warangal,"November, 2016",58434,902301,145,960880,159194,2760265,157,2919616,2045190,16561590,1450,18608230,490,60388,0,60878,2044700,16501202,1450,18547352,0,0,0,0,0,100,2044700,16501202,1450,18547352,-490,-60878
Total,"November, 2016",556382,7966008,4970,8527360,1510042,25808989,5144,27324175,19473370,154853934,49700,174377004,265319,3710107,752,3976178,19208051,151143827,48948,170400826,,0,0,0,0,,19208051,151143815,48948,170400814,-265319,-3976190
Adilabad,"November, 2017",12921,168963,278,182162,39780,593395,283,633458,452235,3560370,2780,4015385,35,8147,0,8182,452200,3552223,2780,4007203,0,0,0,0,0,100,452200,3552223,2780,4007203,-35,-8182
Bhadrdri Kothagudem,"November, 2017",17575,257944,4,275523,46831,771410,4,818245,615125,4628460,40,5243625,4727,192871,0,197598,610398,4435589,40,5046027,0,0,0,0,0,100,610398,4435589,40,5046027,-4727,-197598
Hyderabad,"November, 2017",30607,523977,1426,556010,81153,2001200,1455,2083808,1071245,12007200,14260,13092705,160961,1104224,3680,1268865,910284,10902976,10580,11823840,0,0,0,0,0,100,910284,10902976,10580,11823840,-160961,-1268865
Jagityal,"November, 2017",14685,276187,168,291040,37982,804691,174,842847,513975,4828146,1680,5343801,36487,467501,414,504402,477488,4360645,1266,4839399,0,0,0,0,0,100,477488,4360645,1266,4839399,-36487,-504402
Janagaon,"November, 2017",10611,152202,104,162917,31951,482444,110,514505,371385,2894664,1040,3267089,31034,418650,194,449878,340351,2476014,846,2817211,0,0,0,0,0,100,340351,2476014,846,2817211,-31034,-449878
Jayashankar,"November, 2017",17095,190413,44,207552,43704,556437,44,600185,598325,3338622,440,3937387,245,13313,0,13558,598080,3325309,440,3923829,0,0,0,0,0,100,598080,3325309,440,3923829,-245,-13558
Jogulamba Gadwal,"November, 2017",10162,141596,143,151901,27143,502236,148,529527,355670,3013416,1430,3370516,0,5654,0,5654,355670,3007762,1430,3364862,0,0,0,0,0,100,355670,3007762,1430,3364862,0,-5654
Kamareddy,"November, 2017",16312,228796,1093,246201,46476,813004,1110,860590,570920,4878024,10930,5459874,0,8036,0,8036,570920,4869988,10930,5451838,0,0,0,0,0,100,570920,4869988,10930,5451838,0,-8036
Karimnagar,"November, 2017",15986,254913,50,270949,41735,770204,51,811990,559510,4621224,500,5181234,30698,492958,140,523796,528812,4128266,360,4657438,0,0,0,0,0,100,528812,4128266,360,4657438,-30698,-523796
Khammam,"November, 2017",26582,369249,2,395833,72235,1053374,4,1125613,930370,6320244,20,7250634,30302,670765,0,701067,900068,5649479,20,6549567,0,0,0,0,0,100,900068,5649479,20,6549567,-30302,-701067
Kumarambheem,"November, 2017",12094,123558,23,135675,40254,423485,26,463765,423290,2540910,230,2964430,0,49658,0,49658,423290,2491252,230,2914772,0,0,0,0,0,100,423290,2491252,230,2914772,0,-49658
Mahabubabad,"November, 2017",14681,216951,2,231634,40089,662226,5,702320,513835,3973356,20,4487211,1720,361835,0,363555,512115,3611521,20,4123656,0,0,0,0,0,100,512115,3611521,20,4123656,-1720,-363555
Mahbubnagar,"November, 2017",27999,341777,270,370046,73116,1228445,313,1301874,979965,7370670,2700,8353335,96707,865629,743,963079,883258,6505041,1957,7390256,0,0,0,0,0,100,883258,6505041,1957,7390256,-96707,-963079
Manchiryala,"November, 2017",15054,197343,192,212589,46164,594477,193,640834,526890,3566862,1920,4095672,0,11903,0,11903,526890,3554959,1920,4083769,0,0,0,0,0,100,526890,3554959,1920,4083769,0,-11903
Medak,"November, 2017",13007,194429,87,207523,34491,646857,88,681436,455245,3881142,870,4337257,19198,278570,180,297948,436047,3602572,690,4039309,0,0,0,0,0,100,436047,3602572,690,4039309,-19198,-297948
Medchal,"November, 2017",18343,461504,112,479959,45742,1545053,115,1590910,642005,9270318,1120,9913443,105883,1556448,389,1662720,536122,7713870,731,8250723,0,0,0,0,0,100,536122,7713870,731,8250723,-105883,-1662720
Nagarkarnool,"November, 2017",17038,211565,42,228645,47165,701619,46,748830,596330,4209714,420,4806464,0,6506,0,6506,596330,4203208,420,4799958,0,0,0,0,0,100,596330,4203208,420,4799958,0,-6506
Nalgonda,"November, 2017",28946,420907,73,449926,74608,1293740,74,1368422,1013110,7762440,730,8776280,840,102900,0,103740,1012270,7659540,730,8672540,0,0,0,0,0,100,1012270,7659540,730,8672540,-840,-103740
Nirmal,"November, 2017",11752,187603,35,199390,36466,607047,35,643548,411320,3642282,350,4053952,0,5368,0,5368,411320,3636914,350,4048584,0,0,0,0,0,100,411320,3636914,350,4048584,0,-5368
Nizamabad,"November, 2017",19928,355638,1147,376713,54942,1207103,1175,1263220,697480,7242618,11470,7951568,280,17479,0,17759,697200,7225139,11470,7933809,0,0,0,0,0,100,697200,7225139,11470,7933809,-280,-17759
Peddapalli,"November, 2017",12416,199790,184,212390,33817,591614,191,625622,434560,3549684,1840,3986084,630,10813,0,11443,433930,3538871,1840,3974641,0,0,0,0,0,100,433930,3538871,1840,3974641,-630,-11443
Rajanna Siricilla,"November, 2017",13678,153511,221,167410,36377,456262,225,492864,478730,2737572,2210,3218512,22415,225103,389,247907,456315,2512469,1821,2970605,0,0,0,0,0,100,456315,2512469,1821,2970605,-22415,-247907
Ranga Reddy,"November, 2017",35331,482652,45,518028,92965,1632685,58,1725708,1236585,9796110,450,11033145,119649,1294794,149,1414592,1116936,8501316,301,9618553,0,0,0,0,0,100,1116936,8501304,301,9618541,-119649,-1414604
Sangareddy,"November, 2017",27107,333848,117,361072,70781,1132810,120,1203711,948745,6796860,1170,7746775,76426,817218,211,893855,872319,5979642,959,6852920,0,0,0,0,0,100,872319,5979642,959,6852920,-76426,-893855
Siddipet,"November, 2017",18839,262549,92,281480,52334,835311,96,887741,659365,5011866,920,5672151,23678,375092,100,398870,635687,4636774,820,5273281,0,0,0,0,0,100,635687,4636774,820,5273281,-23678,-398870
Suryapet,"November, 2017",18795,288560,50,307405,50272,855044,51,905367,657825,5130264,500,5788589,5155,378993,0,384148,652670,4751271,500,5404441,0,0,0,0,0,100,652670,4751271,500,5404441,-5155,-384148
Vikarabad,"November, 2017",26770,204449,42,231261,74079,730512,48,804639,936950,4383072,420,5320442,44584,362332,40,406956,892366,4020740,380,4913486,0,0,0,0,0,100,892366,4020740,380,4913486,-44584,-406956
Wanaparthy,"November, 2017",9816,140699,121,150636,28718,482817,130,511665,343560,2896902,1210,3241672,0,6802,0,6802,343560,2890100,1210,3234870,0,0,0,0,0,100,343560,2890100,1210,3234870,0,-6802
Warangal,"November, 2017",12164,240511,22,252697,33850,733186,22,767058,425740,4399116,220,4825076,25600,649829,30,675459,400140,3749287,190,4149617,0,0,0,0,0,100,400140,3749287,190,4149617,-25600,-675459
Warangal Rural,"November, 2017",12187,206025,15,218227,31658,620812,18,652488,426545,3724872,150,4151567,30142,484922,20,515084,396403,3239950,130,3636483,0,0,0,0,0,100,396403,3239950,130,3636483,-30142,-515084
Yadadri Bhuvanagiri,"November, 2017",13185,190970,0,204155,35761,604830,0,640591,461475,3628980,0,4090455,805,24385,0,25190,460670,3604595,0,4065265,0,0,0,0,0,100,460670,3604595,0,4065265,-805,-25190
Total,"November, 2017",551666,7979079,6204,8536949,1502639,25934330,6412,27443381,19308310,155605980,62040,174976330,868201,11268698,6679,12143578,18440109,144337282,55361,162832752,,0,0,0,0,,18440109,144337270,55361,162832740,-868201,-12143590
Adilabad,"November, 2018",12914,171540,276,184730,39566,598165,281,638012,451990,3588990,2760,4043740,12918,195417,394,208729,439072,3393573,2366,3835011,0,0,0,0,0,100,439072,3393573,2366,3835011,-12918,-208729
Bhadrdri Kothagudem,"November, 2018",17570,259719,4,277293,46656,775253,4,821913,614950,4651518,40,5266508,77632,783522,0,861154,537318,3867996,40,4405354,0,0,0,0,0,100,537318,3867996,40,4405354,-77632,-861154
Hyderabad,"November, 2018",30648,527609,1436,559693,81168,2012708,1467,2095343,1072680,12076248,14360,13163288,174812,1448713,3830,1627355,897868,10627535,10530,11535933,0,0,0,0,0,100,897868,10627535,10530,11535933,-174812,-1627355
Jagityal,"November, 2018",14662,286386,166,301214,37832,845009,178,883019,513170,5070054,1660,5584884,28102,461712,274,490088,485068,4608342,1386,5094796,0,0,0,0,0,100,485068,4608342,1386,5094796,-28102,-490088
Janagaon,"November, 2018",10612,154885,104,165601,31836,489762,110,521708,371420,2938572,1040,3311032,42209,500514,260,542983,329211,2438058,780,2768049,0,0,0,0,0,100,329211,2438058,780,2768049,-42209,-542983
Jayashankar,"November, 2018",17092,193192,44,210328,43332,562477,44,605853,598220,3374862,440,3973522,58353,505978,100,564431,539867,2868884,340,3409091,0,0,0,0,0,100,539867,2868884,340,3409091,-58353,-564431
Jogulamba Gadwal,"November, 2018",10162,143670,142,153974,27277,514255,147,541679,355670,3085530,1420,3442620,30667,331553,424,362644,325003,2753977,996,3079976,0,0,0,0,0,100,325003,2753977,996,3079976,-30667,-362644
Kamareddy,"November, 2018",16336,230847,1094,248277,46634,823230,1122,870986,571760,4939380,10940,5522080,33689,370425,1820,405934,538071,4568955,9120,5116146,0,0,0,0,0,100,538071,4568955,9120,5116146,-33689,-405934
Karimnagar,"November, 2018",15967,256056,49,272072,41455,772350,50,813855,558845,4634100,490,5193435,32506,425329,136,457971,526339,4208771,354,4735464,0,0,0,0,0,100,526339,4208771,354,4735464,-32506,-457971
Khammam,"November, 2018",26570,378072,2,404644,71762,1077572,4,1149338,929950,6465432,20,7395402,147538,1245468,0,1393006,782412,5219964,20,6002396,0,0,0,0,0,100,782412,5219964,20,6002396,-147538,-1393006
Kumarambheem,"November, 2018",12088,124335,23,136446,40186,425731,26,465943,423080,2554386,230,2977696,21775,186295,10,208080,401305,2368091,220,2769616,0,0,0,0,0,100,401305,2368091,220,2769616,-21775,-208080
Mahabubabad,"November, 2018",14672,218174,2,232848,39913,664844,5,704762,513520,3989064,20,4502604,130088,996139,0,1126227,383432,2992925,20,3376377,0,0,0,0,0,100,383432,2992925,20,3376377,-130088,-1126227
Mahbubnagar,"November, 2018",27988,344501,269,372758,73347,1240324,315,1313986,979580,7441944,2690,8424214,131281,1058584,952,1190817,848299,6383360,1738,7233397,0,0,0,0,0,100,848299,6383360,1738,7233397,-131281,-1190817
Manchiryala,"November, 2018",15042,197928,192,213162,45875,593266,193,639334,526470,3559596,1920,4087986,34532,395436,474,430442,491938,3164160,1446,3657544,0,0,0,0,0,100,491938,3164160,1446,3657544,-34532,-430442
Medak,"November, 2018",13011,195823,85,208919,34414,653171,86,687671,455385,3919026,850,4375261,32101,428619,190,460910,423284,3490407,660,3914351,0,0,0,0,0,100,423284,3490407,660,3914351,-32101,-460910
Medchal,"November, 2018",18330,464727,112,483169,45697,1556767,115,1602579,641550,9340602,1120,9983272,53302,807628,464,861394,588248,8532974,656,9121878,0,0,0,0,0,100,588248,8532974,656,9121878,-53302,-861394
Nagarkarnool,"November, 2018",17033,212709,42,229784,47097,704070,46,751213,596155,4224420,420,4820995,89154,711294,166,800614,507001,3513126,254,4020381,0,0,0,0,0,100,507001,3513126,254,4020381,-89154,-800614
Nalgonda,"November, 2018",28906,424401,73,453380,74334,1309092,74,1383500,1011710,7854552,730,8866992,117788,1321342,220,1439350,893922,6533210,510,7427642,0,0,0,0,0,100,893922,6533210,510,7427642,-117788,-1439350
Nirmal,"November, 2018",11762,188972,35,200769,36390,609765,35,646190,411670,3658590,350,4070610,12040,209207,80,221327,399630,3449383,270,3849283,0,0,0,0,0,100,399630,3449383,270,3849283,-12040,-221327
Nizamabad,"November, 2018",19983,359085,1149,380217,54856,1213357,1176,1269389,699405,7280142,11490,7991037,22223,360557,1612,384392,677182,6919585,9878,7606645,0,0,0,0,0,100,677182,6919585,9878,7606645,-22223,-384392
Peddapalli,"November, 2018",12401,202376,183,214960,33665,600401,193,634259,434035,3602406,1830,4038271,34368,407270,524,442162,399667,3195136,1306,3596109,0,0,0,0,0,100,399667,3195136,1306,3596109,-34368,-442162
Rajanna Siricilla,"November, 2018",13671,157542,219,171432,36144,463299,223,499666,478485,2779794,2190,3260469,31805,263224,492,295521,446680,2516570,1698,2964948,0,0,0,0,0,100,446680,2516570,1698,2964948,-31805,-295521
Ranga Reddy,"November, 2018",35212,483718,44,518974,92566,1634522,56,1727144,1232420,9807132,440,11039992,95891,792806,150,888847,1136529,9014326,290,10151145,0,0,0,0,0,100,1136529,9014314,290,10151133,-95891,-888859
Sangareddy,"November, 2018",27117,341165,115,368397,70920,1167840,120,1238880,949095,7007040,1150,7957285,58678,781013,220,839911,890417,6226027,930,7117374,0,0,0,0,0,100,890417,6226027,930,7117374,-58678,-839911
Siddipet,"November, 2018",18859,268718,92,287669,52003,850076,94,902173,660065,5100456,920,5761441,30430,452691,176,483297,629635,4647765,744,5278144,0,0,0,0,0,100,629635,4647765,744,5278144,-30430,-483297
Suryapet,"November, 2018",18773,293636,49,312458,50116,874264,50,924430,657055,5245584,490,5903129,95539,966160,120,1061819,561516,4279424,370,4841310,0,0,0,0,0,100,561516,4279424,370,4841310,-95539,-1061819
Vikarabad,"November, 2018",26765,205745,42,232552,73830,733354,47,807231,936775,4400124,420,5337319,68066,471231,96,539393,868709,3928893,324,4797926,0,0,0,0,0,100,868709,3928893,324,4797926,-68066,-539393
Wanaparthy,"November, 2018",9822,142044,116,151982,28652,486069,125,514846,343770,2916414,1160,3261344,43887,386853,264,431004,299883,2529561,896,2830340,0,0,0,0,0,100,299883,2529561,896,2830340,-43887,-431004
Warangal,"November, 2018",12166,248175,22,260363,33609,753372,22,787003,425810,4520232,220,4946262,29989,537150,60,567199,395821,3983082,160,4379063,0,0,0,0,0,100,395821,3983082,160,4379063,-29989,-567199
Warangal Rural,"November, 2018",12164,206470,15,218649,31471,622831,18,654320,425740,3736986,150,4162876,54162,714239,30,768431,371578,3022747,120,3394445,0,0,0,0,0,100,371578,3022747,120,3394445,-54162,-768431
Yadadri Bhuvanagiri,"November, 2018",13154,190799,0,203953,35572,603420,0,638992,460390,3620520,0,4080910,33233,405516,0,438749,427157,3215004,0,3642161,0,0,0,0,0,100,427157,3215004,0,3642161,-33233,-438749
Total,"November, 2018",551452,8073019,6196,8630667,1498175,26230616,6426,27735217,19300820,157383696,61960,176746476,1858758,18921885,13538,20794181,17442062,138461811,48422,155952295,,0,0,0,0,,17442062,138461799,48422,155952283,-1858758,-20794193
Adilabad,"October, 2015",52227,688770,377,741374,163773,2198740,384,2362897,1827945,13192440,3770,15024155,70,54204,0,54274,1827875,13138236,3770,14969881,0,0,0,0,0,100,1827875,13138236,3770,14969881,-70,-54274
Hyderabad,"October, 2015",43049,773982,379,817410,102828,2686851,428,2790107,1506715,16121106,3790,17631611,104689,1622197,155,1727041,1402026,14498909,3635,15904570,75,1130024,12090818,2897,13223739,25,272002,2408091,738,2680831,-1234713,-14950780
Karimnagar,"October, 2015",67486,1022824,610,1090920,177807,2950652,631,3129090,2362010,17703912,6100,20072022,2240,68189,10,70439,2359770,17635723,6090,20001583,0,0,0,0,0,100,2359770,17635723,6090,20001583,-2240,-70439
Khammam,"October, 2015",46530,678801,9,725340,125729,1945090,11,2070830,1628550,11670540,90,13299180,1893,128497,0,130390,1626657,11542043,90,13168790,0,0,0,0,0,100,1626657,11542043,90,13168790,-1893,-130390
Mahbubnagar,"October, 2015",70056,985373,435,1055864,187179,3335765,494,3523438,2451960,20014590,4350,22470900,350,47680,0,48030,2451610,19966910,4350,22422870,0,0,0,0,0,100,2451610,19966910,4350,22422870,-350,-48030
Medak,"October, 2015",54525,735877,140,790542,145493,2379428,144,2525065,1908375,14276568,1400,16186343,154,302096,0,302250,1908221,13974472,1400,15884093,0,0,0,0,0,100,1908221,13974472,1400,15884093,-154,-302250
Nalgonda,"October, 2015",61683,928491,128,990302,162451,2737634,133,2900218,2158905,16425804,1280,18585989,2450,183762,0,186212,2156455,16242042,1280,18399777,0,0,0,0,0,100,2156455,16242042,1280,18399777,-2450,-186212
Nizamabad,"October, 2015",38345,588043,1648,628036,105935,1983028,1662,2090625,1342075,11898168,16480,13256723,105,68377,0,68482,1341970,11829791,16480,13188241,0,0,0,0,0,100,1341970,11829791,16480,13188241,-105,-68482
Ranga Reddy,"October, 2015",63071,527932,128,591131,170896,1787457,154,1958507,2207485,10724742,1280,12933507,5190,228622,0,233812,2202295,10496120,1280,12699695,0,0,0,0,0,100,2202295,10496120,1280,12699695,-5190,-233812
Ranga Reddy,"October, 2015",14202,563406,10,577618,32264,1872789,18,1905071,497070,11236734,100,11733904,14316,814592,0,828908,482754,10422142,100,10904996,75,372786,8427551,79,8800416,25,109968,1994591,21,2104580,-387102,-9629324
Warangal,"October, 2015",58795,923874,31,982700,160191,2780077,38,2940306,2057825,16680462,310,18738597,6010,81278,0,87288,2051815,16599184,310,18651309,0,0,0,0,0,100,2051815,16599184,310,18651309,-6010,-87288
Total,"October, 2015",569969,8417373,3895,8991237,1534546,26657511,4097,28196154,19948915,159945066,38950,179932931,137467,3599494,165,3737126,19811448,156345572,38785,176195805,,1502810,20518369,2976,22024155,,18308638,135827203,35809,154171650,-1640277,-25761281
Adilabad,"October, 2016",51845,676073,524,728442,162775,2208736,533,2372044,1814575,13252416,5240,15072231,35,44739,0,44774,1814540,13207677,5240,15027457,0,0,0,0,0,100,1814540,13207677,5240,15027457,-35,-44774
Hyderabad,"October, 2016",34417,548051,303,582771,86476,2040056,320,2126852,1204595,12240336,3030,13447961,203550,1774377,912,1978839,1001045,10465959,2118,11469122,0,0,0,0,0,100,1001045,10465959,2118,11469122,-203550,-1978839
Karimnagar,"October, 2016",66786,1005517,669,1072972,176747,2975711,687,3153145,2337510,17854266,6690,20198466,2125,55516,40,57681,2335385,17798750,6650,20140785,0,0,0,0,0,100,2335385,17798750,6650,20140785,-2125,-57681
Khammam,"October, 2016",46586,664775,8,711369,125748,1930160,10,2055918,1630510,11580960,80,13211550,2863,137880,0,140743,1627647,11443080,80,13070807,0,0,0,0,0,100,1627647,11443080,80,13070807,-2863,-140743
Mahbubnagar,"October, 2016",70469,953174,584,1024227,190204,3317332,630,3508166,2466415,19903992,5840,22376247,0,34272,0,34272,2466415,19869720,5840,22341975,0,0,0,0,0,100,2466415,19869720,5840,22341975,0,-34272
Medak,"October, 2016",54345,715970,289,770604,144988,2380258,295,2525541,1902075,14281548,2890,16186513,189,42145,0,42334,1901886,14239403,2890,16144179,0,0,0,0,0,100,1901886,14239403,2890,16144179,-189,-42334
Nalgonda,"October, 2016",61593,906189,129,967911,162748,2762680,131,2925559,2155755,16576080,1290,18733125,1960,129524,0,131484,2153795,16446556,1290,18601641,0,0,0,0,0,100,2153795,16446556,1290,18601641,-1960,-131484
Nizamabad,"October, 2016",37272,583590,2160,623022,103806,2007364,2198,2113368,1304520,12044184,21600,13370304,175,27929,0,28104,1304345,12016255,21600,13342200,0,0,0,0,0,100,1304345,12016255,21600,13342200,-175,-28104
