from_node,to_node,distance_km
godown_Nizamabad,shop_1804004,23.746
godown_Nizamabad,shop_1804005,24.827
godown_Nizamabad,shop_1804006,23.316
godown_Nizamabad,shop_1804007,23.84
godown_Nizamabad,shop_1804008,23.368
godown_Nizamabad,shop_1804009,23.098
godown_Nizamabad,shop_1804010,23.06
godown_Nizamabad,shop_1804011,22.92
godown_Nizamabad,shop_1804012,24.178
godown_Nizamabad,shop_1804015,27.822
godown_Nizamabad,shop_1804016,19.638
godown_Nizamabad,shop_1804017,19.869
godown_Nizamabad,shop_1804018,29.262
godown_Nizamabad,shop_1804019,29.234
godown_Nizamabad,shop_1804022,29.487
godown_Nizamabad,shop_1804024,26.703
godown_Nizamabad,shop_1804025,20.721
godown_Nizamabad,shop_1804026,29.95
godown_Nizamabad,shop_1804027,31.2
godown_Nizamabad,shop_1804028,26.181
godown_Nizamabad,shop_1804029,24.384
godown_Nizamabad,shop_1804030,28.966
godown_Nizamabad,shop_1804033,25.977
godown_Nizamabad,shop_1804035,25.969
godown_Nizamabad,shop_1804036,26.145
godown_Nizamabad,shop_1804037,26.467
godown_Nizamabad,shop_1804038,26.542
godown_Nizamabad,shop_1804039,22.672
godown_Nizamabad,shop_1804040,29.51
godown_Nizamabad,shop_1804041,24.405
godown_Nizamabad,shop_1804042,24.796
godown_Nizamabad,shop_1804043,24.653
godown_Nizamabad,shop_1804044,24.298
godown_Nizamabad,shop_1804045,23.945
godown_Nizamabad,shop_1804046,24.021
godown_Nizamabad,shop_1804047,23.649
godown_Nizamabad,shop_1804048,23.155
godown_Nizamabad,shop_1804049,23.087
godown_Nizamabad,shop_1804051,24.311
godown_Nizamabad,shop_1804052,24.332
godown_Nizamabad,shop_1804053,25.789
godown_Nizamabad,shop_1804054,25.699
godown_Nizamabad,shop_1804055,26.271
godown_Nizamabad,shop_1804056,26.526
godown_Nizamabad,shop_1804057,26.379
godown_Nizamabad,shop_1805001,33.593
godown_Nizamabad,shop_1805002,33.955
godown_Nizamabad,shop_1805003,34.009
godown_Nizamabad,shop_1805004,33.394
godown_Nizamabad,shop_1805005,32.962
godown_Nizamabad,shop_1805006,36.541
godown_Nizamabad,shop_1805012,35.338
godown_Nizamabad,shop_1805013,32.174
godown_Nizamabad,shop_1805019,36.223
godown_Nizamabad,shop_1805020,35.594
godown_Nizamabad,shop_1805022,36.253
godown_Nizamabad,shop_1805023,36.348
godown_Nizamabad,shop_1805024,35.731
godown_Nizamabad,shop_1805025,31.899
godown_Nizamabad,shop_1805026,29.431
godown_Nizamabad,shop_1805039,33.475
godown_Nizamabad,shop_1805041,34.461
godown_Nizamabad,shop_1805042,34.153
godown_Nizamabad,shop_1806001,41.718
godown_Nizamabad,shop_1806002,41.606
godown_Nizamabad,shop_1806003,41.608
godown_Nizamabad,shop_1806004,41.385
godown_Nizamabad,shop_1806005,41.532
godown_Nizamabad,shop_1806006,41.496
godown_Nizamabad,shop_1806007,37.231
godown_Nizamabad,shop_1806008,37.222
godown_Nizamabad,shop_1806011,44.344
godown_Nizamabad,shop_1806012,42.366
godown_Nizamabad,shop_1806016,42.049
godown_Nizamabad,shop_1806017,41.994
godown_Nizamabad,shop_1806018,41.756
godown_Nizamabad,shop_1806019,40.746
godown_Nizamabad,shop_1806020,44.482
godown_Nizamabad,shop_1806021,44.431
godown_Nizamabad,shop_1806026,38.913
godown_Nizamabad,shop_1806027,38.93
godown_Nizamabad,shop_1806030,40.086
godown_Nizamabad,shop_1807001,46.46
godown_Nizamabad,shop_1807002,46.413
godown_Nizamabad,shop_1807003,47.036
godown_Nizamabad,shop_1807005,45.173
godown_Nizamabad,shop_1807006,45.074
godown_Nizamabad,shop_1807007,48.975
godown_Nizamabad,shop_1807008,49.163
godown_Nizamabad,shop_1807009,49.129
godown_Nizamabad,shop_1807010,46.696
godown_Nizamabad,shop_1807011,46.111
godown_Nizamabad,shop_1807012,46.315
godown_Nizamabad,shop_1807013,44.938
godown_Nizamabad,shop_1807014,44.827
godown_Nizamabad,shop_1807015,46.858
godown_Nizamabad,shop_1807016,47.295
godown_Nizamabad,shop_1807017,47.039
godown_Nizamabad,shop_1807020,55.231
godown_Nizamabad,shop_1807022,48.852
godown_Nizamabad,shop_1807023,46.894
godown_Nizamabad,shop_1807024,47.43
godown_Nizamabad,shop_1808001,37.09
godown_Nizamabad,shop_1808002,37.022
godown_Nizamabad,shop_1808003,36.741
godown_Nizamabad,shop_1808004,36.721
godown_Nizamabad,shop_1808005,36.71
godown_Nizamabad,shop_1808006,33.293
godown_Nizamabad,shop_1808007,33.218
godown_Nizamabad,shop_1808008,30.157
godown_Nizamabad,shop_1808009,34.391
godown_Nizamabad,shop_1808010,34.926
godown_Nizamabad,shop_1808011,39.013
godown_Nizamabad,shop_1808012,37.446
godown_Nizamabad,shop_1808013,36.437
godown_Nizamabad,shop_1808014,37.891
godown_Nizamabad,shop_1808015,38.091
godown_Nizamabad,shop_1808016,40.333
godown_Nizamabad,shop_1808017,40.336
godown_Nizamabad,shop_1808018,40.339
godown_Nizamabad,shop_1808019,38.858
godown_Nizamabad,shop_1808020,45.807
godown_Nizamabad,shop_1808021,38.54
godown_Nizamabad,shop_1808022,38.301
godown_Nizamabad,shop_1808023,38.403
godown_Nizamabad,shop_1808024,42.986
godown_Nizamabad,shop_1808025,49.711
godown_Nizamabad,shop_1808026,45.579
godown_Nizamabad,shop_1808027,36.872
godown_Nizamabad,shop_1808028,37.011
godown_Nizamabad,shop_1808029,37.167
godown_Nizamabad,shop_1808030,33.669
godown_Nizamabad,shop_1808031,33.314
godown_Nizamabad,shop_1808032,30.037
godown_Nizamabad,shop_1808034,35.007
godown_Nizamabad,shop_1808035,37.988
godown_Nizamabad,shop_1808036,37.984
godown_Nizamabad,shop_1808037,40.397
godown_Nizamabad,shop_1808038,43.1
godown_Nizamabad,shop_1808039,43.144
godown_Nizamabad,shop_1808040,38.427
godown_Nizamabad,shop_1809001,33.954
godown_Nizamabad,shop_1809002,33.27
godown_Nizamabad,shop_1809003,28.873
godown_Nizamabad,shop_1809004,29.091
godown_Nizamabad,shop_1809005,28
godown_Nizamabad,shop_1809006,33.293
godown_Nizamabad,shop_1809007,32.949
godown_Nizamabad,shop_1809008,34.58
godown_Nizamabad,shop_1809009,34.758
godown_Nizamabad,shop_1809010,34.923
godown_Nizamabad,shop_1809011,34.743
godown_Nizamabad,shop_1809012,36.44
godown_Nizamabad,shop_1809013,35.781
godown_Nizamabad,shop_1809014,33.322
godown_Nizamabad,shop_1809015,33.964
godown_Nizamabad,shop_1809016,34.034
godown_Nizamabad,shop_1809017,36.644
godown_Nizamabad,shop_1809018,34.074
godown_Nizamabad,shop_1809019,30.181
godown_Nizamabad,shop_1809020,30.738
godown_Nizamabad,shop_1809021,26.342
godown_Nizamabad,shop_1809022,27.657
godown_Nizamabad,shop_1809023,29.157
godown_Nizamabad,shop_1809024,34.434
